timestamp_sec,timestamp_nanosec,trust_score,shoulder_pan_pos,shoulder_lift_pos,elbow_pos,wrist_1_pos,wrist_2_pos,wrist_3_pos,shoulder_pan_vel,shoulder_lift_vel,elbow_vel,wrist_1_vel,wrist_2_vel,wrist_3_vel,imu_ax_raw,imu_ay_raw,imu_az_raw,imu_ax_ema,imu_ay_ema,imu_az_ema,attack_active
1786496795,869333505,100.0,-1.715201203023092,-1.69800311723818,-1.1328094641314905,-4.61781877676119,-4.890351716672079,0.6842637062072754,0.006481069140136242,0.00839854497462511,0.0,0.0,0.0,-0.010405503213405609,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496795,889445781,100.0,-1.7151296774493616,-1.6978471914874476,-1.1328213850604456,-4.61784273782839,-4.890399638806478,0.6840723156929016,0.013281716965138912,0.012028966099023819,0.0,0.0,0.0,-0.014623950235545635,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496795,909457683,100.0,-1.714841667805807,-1.697571102772848,-1.1328094641314905,-4.61784273782839,-4.890351716672079,0.6836408972740173,0.015442073345184326,0.0136652123183012,0.0,0.0,0.0,-0.019532689824700356,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496795,931098937,100.0,-1.7145293394671839,-1.6971400419818323,-1.132761303578512,-4.617854777966635,-4.890375677739279,0.6831135749816895,0.018037058413028717,0.01660534180700779,0.0,0.0,0.0,-0.026333337649703026,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496795,949310302,100.0,-1.714205567036764,-1.696888271962301,-1.1327737013446253,-4.61781877676119,-4.890399638806478,0.682634174823761,0.01721893437206745,0.021156152710318565,0.0,0.0,0.0,-0.031689487397670746,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496795,969562768,100.0,-1.7138579527484339,-1.6965168158160608,-1.1327737013446253,-4.617854777966635,-4.890387598668234,0.682071328163147,0.020811006426811218,0.023700004443526268,0.0,0.0,0.0,-0.036789972335100174,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496795,989307403,100.0,-1.7132461706744593,-1.695857350026266,-1.1327856222735804,-4.61784273782839,-4.890327755604879,0.6811245679855347,0.0270108450204134,0.03213689848780632,0.0,0.0,0.0,-0.04734887555241585,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,10747671,100.0,-1.7125991026507776,-1.6950181166278284,-1.1328094641314905,-4.61784273782839,-4.890399638806478,0.6797707080841064,0.03236699476838112,0.03815777227282524,0.0,0.0,0.0,-0.05976133793592453,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,29277801,100.0,-1.7120230833636683,-1.6943467299090784,-1.1327856222735804,-4.61784273782839,-4.890351716672079,0.6787640452384949,0.03804272413253784,0.04357783868908882,0.0,0.0,0.0,-0.06923367083072662,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,50804376,100.0,-1.7110160032855433,-1.6931598822223108,-1.1327975432025355,-4.617878739033834,-4.890399638806478,0.676810622215271,0.04639013484120369,0.05423900485038757,0.0,0.0,0.0,-0.08640147000551224,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,69296598,100.0,-1.7102602163897913,-1.6921895186053675,-1.1327856222735804,-4.617878739033834,-4.890363637601034,0.6754208207130432,0.05444353446364403,0.06281651556491852,0.0,0.0,0.0,-0.0967814102768898,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,89456319,100.0,-1.7092765013324183,-1.6910865942584437,-1.1327737013446253,-4.617854777966635,-4.890375677739279,0.6738272905349731,0.061410363763570786,0.07260842621326447,0.0,0.0,0.0,-0.10806895047426224,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,109310865,100.0,-1.7077057997332972,-1.6891682783709925,-1.1327975432025355,-4.617806855832235,-4.890399638806478,0.6709394454956055,0.07300470024347305,0.0864398181438446,0.0,0.0,0.0,-0.13267655670642853,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,129530668,100.0,-1.7064946333514612,-1.6878016630755823,-1.1327737013446253,-4.61781877676119,-4.890375677739279,0.6688542366027832,0.07548464089632034,0.0895589143037796,0.0,0.0,0.0,-0.13923431932926178,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,149318456,100.0,-1.704599682484762,-1.6855843702899378,-1.1328094641314905,-4.617878739033834,-4.890375677739279,0.6654034852981567,0.08179952949285507,0.09858383238315582,0.0,0.0,0.0,-0.15491928160190582,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,169450521,100.0,-1.703292194996969,-1.6838820616351526,-1.1328094641314905,-4.617830816899435,-4.890339676533834,0.662815272808075,0.0863247737288475,0.10448966175317764,0.0,0.0,0.0,-0.16249969601631165,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,189387559,100.0,-1.7010253111468714,-1.6813643614398401,-1.1327975432025355,-4.61784273782839,-4.890412036572592,0.6588608622550964,0.09490227699279785,0.11152040213346481,0.0,0.0,0.0,-0.173736110329628,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,210828304,100.0,-1.6986153761493128,-1.6786311308490198,-1.1327975432025355,-4.617830816899435,-4.890399638806478,0.654499351978302,0.10230373591184616,0.120583675801754,0.0,0.0,0.0,-0.18317009508609772,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,229377269,100.0,-1.6969965139972132,-1.6765816847430628,-1.1328213850604456,-4.61781877676119,-4.890399638806478,0.6515276432037354,0.10415729880332947,0.12554354965686798,0.0,0.0,0.0,-0.191594198346138,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,250552654,100.0,-1.6943219343768519,-1.673549000416891,-1.1327975432025355,-4.61784273782839,-4.890423957501547,0.6467463374137878,0.10988415777683258,0.13267655670642853,0.0,0.0,0.0,-0.20369987189769745,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,269322156,100.0,-1.692463223134176,-1.6713913122760218,-1.132761303578512,-4.61781877676119,-4.890339676533834,0.6434630155563354,0.1124407947063446,0.1384417712688446,0.0,0.0,0.0,-0.20724080502986908,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,289473533,100.0,-1.6905320326434534,-1.669065300618307,-1.1327975432025355,-4.617878739033834,-4.890375677739279,0.6401437520980835,0.11631409823894501,0.14037202298641205,0.0,0.0,0.0,-0.21451443433761597,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,309316396,100.0,-1.687606159840719,-1.6655657927142542,-1.1327737013446253,-4.617854777966635,-4.890387598668234,0.6348231434822083,0.12172137945890427,0.14731329679489136,0.0,0.0,0.0,-0.22445973753929138,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,331036567,100.0,-1.6845601240741175,-1.661969010029928,-1.1328094641314905,-4.61786669889559,-4.890339676533834,0.6293710470199585,0.12678351998329163,0.15021507441997528,0.0,0.0,0.0,-0.23455844819545746,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,349299192,100.0,-1.6824491659747522,-1.6594756285296839,-1.1327975432025355,-4.61784273782839,-4.890412036572592,0.6255724430084229,0.13074630498886108,0.15614646673202515,0.0,0.0,0.0,-0.2379332035779953,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,370827198,100.0,-1.6792953650103968,-1.6556761900531214,-1.1327975432025355,-4.617890659962789,-4.890412036572592,0.6196166276931763,0.13507980108261108,0.1604032665491104,0.0,0.0,0.0,-0.2471754401922226,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,389320850,100.0,-1.6771968046771448,-1.653039280568258,-1.1327737013446253,-4.617854777966635,-4.890351716672079,0.6156023144721985,0.13848011195659637,0.16405925154685974,0.0,0.0,0.0,-0.2549092769622803,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,410815954,100.0,-1.6738389174090784,-1.6490233580218714,-1.1327737013446253,-4.617878739033834,-4.890375677739279,0.6095147132873535,0.14568983018398285,0.16618125140666962,0.0,0.0,0.0,-0.2576448619365692,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,429328441,100.0,-1.6715605894671839,-1.6463258902179163,-1.1327975432025355,-4.61781877676119,-4.890375677739279,0.6053445339202881,0.14574095606803894,0.17349323630332947,0.0,0.0,0.0,-0.2651997208595276,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,451010227,100.0,-1.668022934590475,-1.642214600239889,-1.1327374617206019,-4.61781877676119,-4.890363637601034,0.5989453792572021,0.14896231889724731,0.17705973982810974,0.0,0.0,0.0,-0.27165523171424866,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,469339847,100.0,-1.665600601826803,-1.639277760182516,-1.1327856222735804,-4.617854777966635,-4.890423957501547,0.5945115685462952,0.15232428908348083,0.18175116181373596,0.0,0.0,0.0,-0.2750299870967865,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,489410400,100.0,-1.6630938688861292,-1.636376682912008,-1.1328213850604456,-4.617854777966635,-4.890363637601034,0.5900055170059204,0.15610811114311218,0.18150828778743744,0.0,0.0,0.0,-0.28124260902404785,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,509276866,100.0,-1.6592443625079554,-1.6319416205035608,-1.132749382649557,-4.61784273782839,-4.890351716672079,0.5832827091217041,0.15806393325328827,0.184831902384758,0.0,0.0,0.0,-0.28454065322875977,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,530707597,100.0,-1.6553953329669397,-1.6273749510394495,-1.1327856222735804,-4.617878739033834,-4.890351716672079,0.5763685703277588,0.15904824435710907,0.19050763547420502,0.0,0.0,0.0,-0.2896411418914795,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,549324750,100.0,-1.652792755757467,-1.6243661085711878,-1.132761303578512,-4.6177948156939905,-4.890412036572592,0.5717422962188721,0.15916329622268677,0.18953610956668854,0.0,0.0,0.0,-0.29393628239631653,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,571003913,100.0,-1.648919407521383,-1.619775120412008,-1.132749382649557,-4.617878739033834,-4.890351716672079,0.5645880699157715,0.16485179960727692,0.19409970939159393,0.0,0.0,0.0,-0.29752835631370544,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,589308500,100.0,-1.6462934652911585,-1.6169222036944788,-1.1328094641314905,-4.617902700101034,-4.890363637601034,0.5597708225250244,0.16367575526237488,0.19334550201892853,0.0,0.0,0.0,-0.30066025257110596,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,610754251,100.0,-1.6423962751971644,-1.6121638456927698,-1.1327975432025355,-4.617878739033834,-4.890375677739279,0.5525562763214111,0.1660534292459488,0.19678416848182678,0.0,0.0,0.0,-0.3031146228313446,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,629361391,100.0,-1.6397936979876917,-1.609034840260641,-1.1327856222735804,-4.617854777966635,-4.890412036572592,0.5477386116981506,0.1676768809556961,0.19926410913467407,0.0,0.0,0.0,-0.3052366077899933,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,650597572,100.0,-1.6357162634478968,-1.6041205565081995,-1.1328333059894007,-4.617830816899435,-4.890399638806478,0.540536105632782,0.17262397706508636,0.1993408054113388,0.0,0.0,0.0,-0.3091610372066498,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,669328212,100.0,-1.6329224745379847,-1.600884739552633,-1.1327975432025355,-4.61784273782839,-4.890363637601034,0.5356465578079224,0.16988837718963623,0.2005424201488495,0.0,0.0,0.0,-0.3115003705024719,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,689676284,100.0,-1.6302126089679163,-1.5975640455829065,-1.1327975432025355,-4.617830816899435,-4.890399638806478,0.5306371450424194,0.168712317943573,0.20201249420642853,0.0,0.0,0.0,-0.30908435583114624,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,709343433,100.0,-1.6260274092303675,-1.5926974455462855,-1.1327856222735804,-4.61784273782839,-4.890375677739279,0.5231226682662964,0.17423465847969055,0.20180796086788177,0.0,0.0,0.0,-0.3132644593715668,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,729630947,100.0,-1.6231492201434534,-1.5895212332354944,-1.1327975432025355,-4.61784273782839,-4.890375677739279,0.5181731581687927,0.1722404807806015,0.20352090895175934,0.0,0.0,0.0,-0.31348177790641785,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,749276161,100.0,-1.6189764181720179,-1.5846784750567835,-1.132761303578512,-4.61784273782839,-4.890339676533834,0.5107190012931824,0.17218933999538422,0.2040194422006607,0.0,0.0,0.0,-0.31493905186653137,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,769473314,100.0,-1.6162903944598597,-1.581466023121969,-1.1327255407916468,-4.617854777966635,-4.890435997639791,0.505745530128479,0.16959436237812042,0.20300957560539246,0.0,0.0,0.0,-0.3146194517612457,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,789333581,100.0,-1.6122015158282679,-1.576587978993551,-1.1327136198626917,-4.617830816899435,-4.890387598668234,0.4982190728187561,0.17434971034526825,0.2052338570356369,0.0,0.0,0.0,-0.3148367702960968,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,810918331,100.0,-1.6081722418414515,-1.57172137895693,-1.132749382649557,-4.61784273782839,-4.890351716672079,0.4907165765762329,0.17238108813762665,0.20584744215011597,0.0,0.0,0.0,-0.3161662220954895,0.0,0.0,0.0,0.0,0.0,0.0,0
1786496796,829288482,100.0,-1.605354134236471,-1.56842548051943,-1.132749382649557,-4.617878739033834,-4.890412036572592,0.48570680618286133,0.17303304374217987,0.2052338570356369,0.0,0.0,0.0,-0.3176235258579254,0.0,0.0,0.0,0.0,0.0,0.0,0
