file,algo,outage,alpha,iter,t_attack,evict_ms,decay1_ms,min_trust,steps,period_ms,n_steps,attack_flag_ms
trial_ZKP_outage1000_ewma1_iter1_1786554155.csv,ZKP,1000,0.1,1,1786554180.3524678,,476.37486457824707,65.61,90 72.9 65.61,349.9242067337036,3,1036.4720821380615
trial_ZKP_outage1000_ewma1_iter2_1786553715.csv,ZKP,1000,0.1,2,1786553742.128816,,335.9041213989258,59.05,90 72.9 65.61 59.05,306.7026933034261,4,1037.431001663208
trial_ZKP_outage1000_ewma1_iter3_1786555270.csv,ZKP,1000,0.1,3,1786555306.299608,,354.9466133117676,65.61,90 81 65.61,359.81452465057373,3,1035.2180004119873
trial_ZKP_outage1000_ewma1_iter4_1786552069.csv,ZKP,1000,0.1,4,1786552094.9176712,,321.0458755493164,59.05,90 72.9 65.61 59.05,313.0822976430257,4,1041.259765625
trial_ZKP_outage1000_ewma1_iter5_1786554202.csv,ZKP,1000,0.1,5,1786554229.155533,,536.3059043884277,59.05,81 65.61 59.05,349.9598503112793,3,1036.231517791748
trial_ZKP_outage1000_ewma3_iter1_1786550910.csv,ZKP,1000,0.3,1,1786550936.3426893,1112.717628479004,412.7309322357178,24.01,70 49 24.01,349.99334812164307,3,1032.7279567718506
trial_ZKP_outage1000_ewma3_iter2_1786550225.csv,ZKP,1000,0.3,2,1786550250.9097404,978.3093929290771,278.4743309020996,16.81,70 34.3 24.01 16.81,306.64269129435223,4,1038.4628772735596
trial_ZKP_outage1000_ewma3_iter3_1786553911.csv,ZKP,1000,0.3,3,1786553937.3423629,1149.39546585083,429.5082092285156,24.01,70 49 24.01,359.9436283111572,3,1029.4530391693115
trial_ZKP_outage1000_ewma3_iter4_1786554695.csv,ZKP,1000,0.3,4,1786554720.309788,1066.1203861236572,606.2860488891602,24.01,49 34.3 24.01,229.91716861724854,3,1026.1471271514893
trial_ZKP_outage1000_ewma3_iter5_1786553518.csv,ZKP,1000,0.3,5,1786553545.2746804,,425.0509738922119,34.3,70 49 34.3,229.96318340301514,3,1045.2766418457031
trial_ZKP_outage1000_ewma5_iter1_1786555623.csv,ZKP,1000,0.5,1,1786555649.4886243,539.3154621124268,299.24535751342773,3.12,50 25 12.5 3.12,313.28852971394855,4,1039.1128063201904
trial_ZKP_outage1000_ewma5_iter2_1786554793.csv,ZKP,1000,0.5,2,1786554819.0783508,542.1419143676758,302.0153045654297,3.12,50 25 6.25 3.12,313.3045832316081,4,1041.9223308563232
trial_ZKP_outage1000_ewma5_iter3_1786556017.csv,ZKP,1000,0.5,3,1786556045.0656471,549.2198467254639,549.2198467254639,3.12,25 12.5 3.12,350.01885890960693,3,1029.8476219177246
trial_ZKP_outage1000_ewma5_iter4_1786555722.csv,ZKP,1000,0.5,4,1786555747.490861,537.6152992248535,298.04134368896484,3.12,50 25 12.5 3.12,313.10129165649414,4,1037.4939441680908
trial_ZKP_outage1000_ewma5_iter5_1786552559.csv,ZKP,1000,0.5,5,1786552584.2331886,589.7483825683594,349.7467041015625,3.12,50 25 12.5 6.25 3.12,235.05115509033203,5,1030.3294658660889
trial_ZKP_outage250_ewma1_iter1_1786552510.csv,ZKP,250,0.1,1,1786552536.5686831,,330.80458641052246,90.0,90,,1,270.68400382995605
trial_ZKP_outage250_ewma1_iter2_1786552755.csv,ZKP,250,0.1,2,1786552781.2885213,,310.22047996520996,90.0,90,,1,270.09010314941406
trial_ZKP_outage250_ewma1_iter3_1786554891.csv,ZKP,250,0.1,3,1786554920.0536475,,397.1564769744873,90.0,90,,1,277.1737575531006
trial_ZKP_outage250_ewma1_iter4_1786552804.csv,ZKP,250,0.1,4,1786552829.0616004,,472.83220291137695,90.0,90,,1,272.8390693664551
trial_ZKP_outage250_ewma1_iter5_1786550861.csv,ZKP,250,0.1,5,1786550888.344283,,457.40294456481934,90.0,90,,1,278.1386375427246
trial_ZKP_outage250_ewma3_iter1_1786551400.csv,ZKP,250,0.3,1,1786551425.639388,,335.95800399780273,70.0,70,,1,275.80928802490234
trial_ZKP_outage250_ewma3_iter2_1786551352.csv,ZKP,250,0.3,2,1786551377.7752533,,507.77387619018555,70.0,70,,1,267.775297164917
trial_ZKP_outage250_ewma3_iter3_1786551989.csv,ZKP,250,0.3,3,1786552014.0960371,,414.48378562927246,70.0,70,,1,274.1725444793701
trial_ZKP_outage250_ewma3_iter4_1786550323.csv,ZKP,250,0.3,4,1786550350.791565,,298.8455295562744,70.0,70,,1,258.8326930999756
trial_ZKP_outage250_ewma3_iter5_1786554010.csv,ZKP,250,0.3,5,1786554034.9279592,,414.5016670227051,70.0,70,,1,273.33641052246094
trial_ZKP_outage250_ewma5_iter1_1786552117.csv,ZKP,250,0.5,1,1786552142.8953803,,290.53187370300293,50.0,50,,1,271.0003852844238
trial_ZKP_outage250_ewma5_iter2_1786552165.csv,ZKP,250,0.5,2,1786552190.9671533,,391.06297492980957,50.0,50,,1,271.46458625793457
trial_ZKP_outage250_ewma5_iter3_1786556117.csv,ZKP,250,0.5,3,1786556143.108632,,482.4352264404297,50.0,50,,1,283.01286697387695
trial_ZKP_outage250_ewma5_iter4_1786550485.csv,ZKP,250,0.5,4,1786550510.7991307,,345.0584411621094,50.0,50,,1,265.20562171936035
trial_ZKP_outage250_ewma5_iter5_1786554448.csv,ZKP,250,0.5,5,1786554474.5274365,,567.6014423370361,75.0,75,,1,267.75455474853516
trial_ZKP_outage3000_ewma1_iter1_1786550533.csv,ZKP,3000,0.1,1,1786550558.3249261,2857.827663421631,297.7602481842041,28.24,90 81 72.9 65.61 53.14 47.83 43.05 34.87 31.38 28.24,284.4519350263808,10,3037.853717803955
trial_ZKP_outage3000_ewma1_iter2_1786550079.csv,ZKP,3000,0.1,2,1786550104.758667,3011.2314224243164,451.1909484863281,28.24,90 81 72.9 65.61 53.14 47.83 43.05 38.74 34.87 28.24,284.44894154866535,10,3011.2314224243164
trial_ZKP_outage3000_ewma1_iter3_1786552657.csv,ZKP,3000,0.1,3,1786552683.0946827,3263.371706008911,463.6678695678711,25.42,90 81 65.61 59.05 53.14 43.05 38.74 34.87 31.38 25.42,311.07820404900446,10,3023.8771438598633
trial_ZKP_outage3000_ewma1_iter4_1786552311.csv,ZKP,3000,0.1,4,1786552337.3669152,2996.5028762817383,436.52844429016113,25.42,90 81 65.61 59.05 53.14 47.83 43.05 38.74 34.87 31.38 28.24 25.42,254.5446916060014,12,3036.5917682647705
