file,algo,outage,alpha,iter,t_attack,evict_ms,decay1_ms,min_trust,steps,period_ms,n_steps,attack_flag_ms
trial_ECC_outage1000_ewma5_iter1_1786052879.csv,ECC,1000,0.5,1,1786052905.5878341,396.74878120422363,276.9763469696045,0.0,50 25 6.25 3.12 1.56 0.78 0.2 0.1 0.05 0.02 0.01 0,165.36855697631836,12,63295.990228652954
trial_ECC_outage1000_ewma5_iter2_1786057113.csv,ECC,1000,0.5,2,1786057138.9359994,528.935432434082,267.8394317626953,0.0,50 12.5 6.25 3.12 0.78 0.39 0.2 0.1 0.02 0.01 0,172.01015949249268,11,63289.180278778076
trial_ECC_outage1000_ewma5_iter3_1786055667.csv,ECC,1000,0.5,3,1786055693.5203478,324.66769218444824,204.71787452697754,0.0,50 25 12.5 6.25 1.56 0.78 0.2 0.1 0.05 0.02 0.01 0,154.59717403758654,12,63304.85248565674
trial_ECC_outage1000_ewma5_iter4_1786053534.csv,ECC,1000,0.5,4,1786053559.5382428,407.56845474243164,287.95838356018066,0.0,50 25 12.5 6.25 3.12 0.78 0.39 0.2 0.05 0.02 0.01 0,152.7039354497736,12,63307.29603767395
trial_ECC_outage1000_ewma5_iter5_1786050286.csv,ECC,1000,0.5,5,1786050311.249901,440.0813579559326,200.13666152954102,0.0,50 12.5 6.25 3.12 0.78 0.39 0.2 0.1 0.02 0.01 0,169.99833583831787,11,63300.16326904297
trial_ECC_outage1000_ewma7_iter1_1786056261.csv,ECC,1000,0.7,1,1786056286.457346,160.48479080200195,160.48479080200195,0.0,30 9 2.7 0.24 0.02 0.01 0,163.22592894236246,7,63299.816608428955
trial_ECC_outage1000_ewma7_iter2_1786053830.csv,ECC,1000,0.7,2,1786053855.048557,210.07895469665527,210.07895469665527,0.0,30 9 0.81 0.07 0.01 0,220.04780769348145,6,63310.26792526245
trial_ECC_outage1000_ewma7_iter3_1786050775.csv,ECC,1000,0.7,3,1786050801.0984523,272.9184627532959,272.9184627532959,0.0,30 9 2.7 0.81 0.07 0.02 0.01 0,154.3034485408238,8,63293.044567108154
trial_ECC_outage1000_ewma7_iter4_1786061074.csv,ECC,1000,0.7,4,1786061100.2903454,209.49220657348633,209.49220657348633,0.0,30 9 0.81 0.24 0.07 0.01 0,183.4888458251953,7,63289.43228721619
trial_ECC_outage1000_ewma7_iter5_1786049302.csv,ECC,1000,0.7,5,1786049327.4901235,226.46641731262207,226.46641731262207,0.0,30 2.7 0.81 0.24 0.02 0.01 0,163.42735290527344,7,63286.540269851685
trial_ECC_outage1000_ewma9_iter1_1786058128.csv,ECC,1000,0.9,1,1786058154.3109102,257.97080993652344,257.97080993652344,0.0,10 1 0.01 0,166.3482983907064,4,63337.95714378357
trial_ECC_outage1000_ewma9_iter2_1786060027.csv,ECC,1000,0.9,2,1786060054.0521364,253.07464599609375,253.07464599609375,0.0,10 1 0.1 0.01 0,154.55162525177002,5,63291.388511657715
trial_ECC_outage1000_ewma9_iter3_1786049892.csv,ECC,1000,0.9,3,1786049917.226551,220.35932540893555,220.35932540893555,0.0,10 0.1 0.01 0,166.61739349365234,4,63300.312995910645
trial_ECC_outage1000_ewma9_iter4_1786050384.csv,ECC,1000,0.9,4,1786050409.114389,158.83398056030273,158.83398056030273,0.0,10 1 0.1 0,166.670560836792,4,63298.731327056885
trial_ECC_outage1000_ewma9_iter5_1786054779.csv,ECC,1000,0.9,5,1786054805.314597,228.73234748840332,228.73234748840332,0.0,10 1 0.1 0,159.97680028279623,4,63308.65740776062
trial_ECC_outage2000_ewma5_iter1_1786056062.csv,ECC,2000,0.5,1,1786056090.0095494,352.3857593536377,232.20491409301758,0.0,50 25 12.5 6.25 3.12 1.56 0.39 0.1 0.05 0.01 0,170.00727653503418,11,63312.30044364929
trial_ECC_outage2000_ewma5_iter2_1786054680.csv,ECC,2000,0.5,2,1786054706.223986,488.67321014404297,248.84366989135742,0.0,50 12.5 3.12 1.56 0.39 0.2 0.05 0.02 0.01 0,204.4602764977349,10,63308.88628959656
