timestamp,node,algorithm,cycle,exec_time_ms,trust_score
1786388935.3001654,CRYPTO_NODE,ECC,78,111.47,100.0
1786388935.407768,CRYPTO_NODE,ECC,79,111.61,100.0
1786388935.5196304,CRYPTO_NODE,ECC,80,111.57,100.0
1786388938.5730994,CRYPTO_NODE,ECC,81,111.84,100.0
1786388946.6019754,CRYPTO_NODE,ZKP,0,334.74,100.0
1786388946.608682,CRYPTO_NODE,ZKP,1,334.69,100.0
1786388946.614348,CRYPTO_NODE,ZKP,2,334.75,100.0
1786388946.6200013,CRYPTO_NODE,ZKP,3,334.6,100.0
1786388946.6255014,CRYPTO_NODE,ZKP,4,334.42,100.0
1786388946.63099,CRYPTO_NODE,ZKP,5,334.73,100.0
1786388946.636679,CRYPTO_NODE,ZKP,6,334.93,100.0
1786388946.7436497,CRYPTO_NODE,ZKP,7,334.73,100.0
1786388946.8511293,CRYPTO_NODE,ZKP,8,334.54,100.0
1786388947.0112853,CRYPTO_NODE,ZKP,9,334.76,100.0
1786388947.35377,CRYPTO_NODE,ZKP,10,334.62,100.0
1786388947.6966581,CRYPTO_NODE,ZKP,11,334.64,100.0
1786388948.0403082,CRYPTO_NODE,ZKP,12,334.47,100.0
1786388948.3833263,CRYPTO_NODE,ZKP,13,334.49,100.0
1786388948.7265244,CRYPTO_NODE,ZKP,14,334.59,100.0
1786388948.936093,CRYPTO_NODE,ECC,0,111.37,100.0
1786388949.0434384,CRYPTO_NODE,ECC,1,111.49,100.0
1786388949.1505358,CRYPTO_NODE,ECC,2,111.6,100.0
1786388949.2576644,CRYPTO_NODE,ECC,3,111.63,100.0
1786388949.3643227,CRYPTO_NODE,ECC,4,111.46,100.0
1786388949.4716454,CRYPTO_NODE,ECC,5,111.4,100.0
1786388949.5806167,CRYPTO_NODE,ECC,6,111.59,100.0
1786388949.7013655,CRYPTO_NODE,ECC,7,111.59,100.0
1786388949.824442,CRYPTO_NODE,ECC,8,111.72,100.0
1786388949.9461467,CRYPTO_NODE,ECC,9,111.62,100.0
1786388950.0683308,CRYPTO_NODE,ECC,10,111.56,100.0
1786388950.1909964,CRYPTO_NODE,ECC,11,111.52,100.0
1786388950.3135338,CRYPTO_NODE,ECC,12,111.74,100.0
1786388950.436058,CRYPTO_NODE,ECC,13,111.54,100.0
1786388950.5568223,CRYPTO_NODE,ECC,14,111.49,100.0
1786388950.6791127,CRYPTO_NODE,ECC,15,111.49,100.0
1786388950.8922875,CRYPTO_NODE,ECC,16,111.58,100.0
1786388950.999063,CRYPTO_NODE,ECC,17,111.34,100.0
1786388951.1059537,CRYPTO_NODE,ECC,18,111.63,100.0
1786388951.213025,CRYPTO_NODE,ECC,19,111.54,100.0
1786388951.32013,CRYPTO_NODE,ECC,20,111.54,100.0
1786388951.4276605,CRYPTO_NODE,ECC,21,111.59,100.0
1786388951.5342474,CRYPTO_NODE,ECC,22,111.52,100.0
1786388951.6538568,CRYPTO_NODE,ECC,23,111.44,100.0
1786388951.8650987,CRYPTO_NODE,ECC,24,111.54,100.0
1786388951.972491,CRYPTO_NODE,ECC,25,111.45,100.0
1786388952.0792813,CRYPTO_NODE,ECC,26,111.57,100.0
1786388952.1866772,CRYPTO_NODE,ECC,27,111.4,100.0
1786388952.2938473,CRYPTO_NODE,ECC,28,111.47,100.0
1786388952.4014885,CRYPTO_NODE,ECC,29,111.47,100.0
1786388952.508998,CRYPTO_NODE,ECC,30,111.45,100.0
1786388952.626899,CRYPTO_NODE,ECC,31,111.4,100.0
1786388952.8384473,CRYPTO_NODE,ECC,32,111.69,100.0
1786388952.9451828,CRYPTO_NODE,ECC,33,111.55,100.0
1786388953.0527546,CRYPTO_NODE,ECC,34,111.5,100.0
1786388953.159454,CRYPTO_NODE,ECC,35,111.5,100.0
1786388953.2667685,CRYPTO_NODE,ECC,36,111.59,100.0
1786388953.373505,CRYPTO_NODE,ECC,37,111.53,100.0
1786388953.480857,CRYPTO_NODE,ECC,38,111.4,100.0
1786388953.599385,CRYPTO_NODE,ECC,39,111.42,100.0
1786388953.721571,CRYPTO_NODE,ECC,40,111.47,100.0
1786388953.8438597,CRYPTO_NODE,ECC,41,111.54,100.0
1786388953.965193,CRYPTO_NODE,ECC,42,111.49,100.0
1786388954.0861683,CRYPTO_NODE,ECC,43,111.38,100.0
1786388954.2073183,CRYPTO_NODE,ECC,44,111.42,100.0
1786388954.3281918,CRYPTO_NODE,ECC,45,111.4,100.0
1786388954.4503038,CRYPTO_NODE,ECC,46,111.55,100.0
