timestamp_sec,timestamp_nanosec,shoulder_pan_pos,shoulder_lift_pos,elbow_pos,wrist_1_pos,wrist_2_pos,wrist_3_pos,shoulder_pan_vel,shoulder_lift_vel,elbow_vel,wrist_1_vel,wrist_2_vel,wrist_3_vel
1782666171,795067861,-1.656426731740133,0.12963628768920898,-1.5218694845782679,0.00686808442696929,0.0008153018425218761,0.6743302345275879,0.0,-0.0,0.0,0.0,0.0,0.0
1782666171,802910791,-1.656426731740133,0.12961292266845703,-1.5218575636493128,0.006856100168079138,0.0008512545027770102,0.6743302345275879,0.0,-0.0,0.0,0.0,0.0,0.0
1782666171,810909407,-1.6563661734210413,0.12960100173950195,-1.5218575636493128,0.00686808442696929,0.0008153018425218761,0.6743662357330322,0.0,-0.0,0.0,0.0,0.0,0.0
1782666171,818975913,-1.6563780943499964,0.12966012954711914,-1.521905247365133,0.006844115909188986,0.0007430219557136297,0.674318253993988,0.0,-0.0,0.0,0.0,0.0,0.0
1782666171,826972510,-1.6564624945269983,0.12960100173950195,-1.521881405507223,0.006844115909188986,0.0007789746159687638,0.6743422150611877,0.0,-0.0,0.0,0.0,0.0,0.0
1782666171,834994626,-1.656414810811178,0.12967252731323242,-1.5218575636493128,0.00686808442696929,0.0008153018425218761,0.6743782162666321,0.0,-0.0,0.0,0.0,0.0,0.0
1782666171,842912483,-1.656414810811178,0.12964820861816406,-1.5218456427203577,0.00692800572142005,0.0008153018425218761,0.674318253993988,0.0,-0.0,0.0,0.0,0.0,0.0
1782666171,909865371,-1.656414810811178,0.12963628768920898,-1.5218456427203577,0.006844115909188986,0.0008392703020945191,0.6743662357330322,0.0,-0.0,0.0,0.0,0.0,0.0
1782666171,921234561,-1.656414810811178,0.12961292266845703,-1.5218456427203577,0.006880068685859442,0.0008153018425218761,0.6743542551994324,0.0,-0.0,0.0,0.0,0.0,0.0
1782666171,931398133,-1.6563904921161097,0.12964820861816406,-1.5218094030963343,0.006904037203639746,0.0007789746159687638,0.6742942929267883,0.0,-0.0,0.0,0.0,0.0,0.0
1782666171,947434272,-1.656426731740133,0.12967252731323242,-1.5218694845782679,0.00686808442696929,0.0008153018425218761,0.6743662357330322,0.0,-0.0,0.0,0.0,0.0,0.0
1782666171,962888928,-1.6563780943499964,0.12966012954711914,-1.521881405507223,0.006880068685859442,0.0008272860432043672,0.6743302345275879,0.0,-0.0,0.0,0.0,0.0,0.0
1782666171,970955137,-1.6564505735980433,0.12966012954711914,-1.5218694845782679,0.00686808442696929,0.0008153018425218761,0.6743662357330322,0.0,-0.0,0.0,0.0,0.0,0.0
1782666171,978906141,-1.6564863363849085,0.1296844482421875,-1.5218694845782679,0.006856100168079138,0.0008153018425218761,0.6744021773338318,0.0,-0.0,0.0,0.0,0.0,0.0
1782666171,986905776,-1.656414810811178,0.12961292266845703,-1.5218213240252894,0.006844115909188986,0.0008153018425218761,0.674318253993988,0.0,-0.0,0.0,0.0,0.0,0.0
1782666171,995175153,-1.656426731740133,0.12966012954711914,-1.521881405507223,0.006856100168079138,0.0008033175836317241,0.6743062734603882,0.0,-0.0,0.0,0.0,0.0,0.0
1782666172,3039657,-1.656414810811178,0.12960100173950195,-1.5218456427203577,0.006892052944749594,0.0008153018425218761,0.6743302345275879,0.0,-0.0,0.0,0.0,0.0,0.0
1782666172,11098107,-1.656426731740133,0.12963628768920898,-1.5218694845782679,0.006856100168079138,0.0007669904152862728,0.6743422150611877,0.0,-0.0,0.0,0.0,0.0,0.0
1782666172,18910852,-1.6564505735980433,0.1296243667602539,-1.5218456427203577,0.006892052944749594,0.0007909588748589158,0.6743302345275879,0.0,-0.0,0.0,0.0,0.0,0.0
1782666172,27028079,-1.6564505735980433,0.1296243667602539,-1.5218456427203577,0.006892052944749594,0.0007909588748589158,0.6743302345275879,0.0,-0.0,0.0,0.0,0.0,0.0
1782666172,34914269,-1.656426731740133,0.12964820861816406,-1.5218694845782679,0.006892052944749594,0.0008153018425218761,0.6743901968002319,0.0,-0.0,0.0,0.0,0.0,0.0
