timestamp,node,algorithm,cycle,exec_time_ms,trust_score
1786388657.3516638,CRYPTO_NODE,ECC,78,111.73,100.0
1786388657.473816,CRYPTO_NODE,ECC,79,111.74,100.0
1786388657.5958133,CRYPTO_NODE,ECC,80,111.67,100.0
1786388660.7203746,CRYPTO_NODE,ECC,81,111.83,100.0
1786388666.8244426,CRYPTO_NODE,ZKP,0,335.15,100.0
1786388666.8314254,CRYPTO_NODE,ZKP,1,334.58,100.0
1786388666.8370626,CRYPTO_NODE,ZKP,2,334.51,100.0
1786388666.8426893,CRYPTO_NODE,ZKP,3,334.5,100.0
1786388666.848216,CRYPTO_NODE,ZKP,4,334.59,100.0
1786388666.8538187,CRYPTO_NODE,ZKP,5,334.62,100.0
1786388666.8594143,CRYPTO_NODE,ZKP,6,334.68,100.0
1786388666.9673896,CRYPTO_NODE,ZKP,7,334.79,100.0
1786388667.074971,CRYPTO_NODE,ZKP,8,334.83,100.0
1786388667.2360585,CRYPTO_NODE,ZKP,9,334.85,100.0
1786388667.578022,CRYPTO_NODE,ZKP,10,334.61,100.0
1786388667.9192798,CRYPTO_NODE,ZKP,11,334.56,100.0
1786388668.2639666,CRYPTO_NODE,ZKP,12,334.58,100.0
1786388668.6071534,CRYPTO_NODE,ZKP,13,334.87,100.0
1786388668.9514306,CRYPTO_NODE,ZKP,14,334.89,100.0
1786388669.161615,CRYPTO_NODE,ECC,0,111.56,100.0
1786388669.2684188,CRYPTO_NODE,ECC,1,111.53,100.0
1786388669.3743825,CRYPTO_NODE,ECC,2,111.61,100.0
1786388669.4813213,CRYPTO_NODE,ECC,3,111.57,100.0
1786388669.588976,CRYPTO_NODE,ECC,4,111.53,100.0
1786388669.6966429,CRYPTO_NODE,ECC,5,111.47,100.0
1786388669.8042235,CRYPTO_NODE,ECC,6,111.35,100.0
1786388669.9228206,CRYPTO_NODE,ECC,7,111.45,100.0
1786388670.0461648,CRYPTO_NODE,ECC,8,111.43,100.0
1786388670.1672008,CRYPTO_NODE,ECC,9,111.53,100.0
1786388670.288818,CRYPTO_NODE,ECC,10,111.51,100.0
1786388670.4093094,CRYPTO_NODE,ECC,11,111.36,100.0
1786388670.5318844,CRYPTO_NODE,ECC,12,111.26,100.0
1786388670.6514935,CRYPTO_NODE,ECC,13,111.31,100.0
1786388670.7728248,CRYPTO_NODE,ECC,14,111.63,100.0
1786388670.8955455,CRYPTO_NODE,ECC,15,111.61,100.0
1786388671.1071596,CRYPTO_NODE,ECC,16,111.72,100.0
1786388671.2156773,CRYPTO_NODE,ECC,17,111.52,100.0
1786388671.323223,CRYPTO_NODE,ECC,18,111.69,100.0
1786388671.4298046,CRYPTO_NODE,ECC,19,111.44,100.0
1786388671.5362492,CRYPTO_NODE,ECC,20,111.53,100.0
1786388671.643666,CRYPTO_NODE,ECC,21,111.48,100.0
