timestamp_sec,timestamp_nanosec,trust_score,shoulder_pan_pos,shoulder_lift_pos,elbow_pos,wrist_1_pos,wrist_2_pos,wrist_3_pos,shoulder_pan_vel,shoulder_lift_vel,elbow_vel,wrist_1_vel,wrist_2_vel,wrist_3_vel,imu_ax_raw,imu_ay_raw,imu_az_raw,imu_ax_ema,imu_ay_ema,imu_az_ema
1785460966,801654100,100.0,-1.871577564870016,-1.76410419145693,-0.9870556036578577,-4.698468510304586,-3.5640817324267786,-0.3221691290484827,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785460966,817090272,100.0,-1.8715537230121058,-1.7641404310809534,-0.9870908896075647,-4.698480550442831,-3.564033810292379,-0.3221929709063929,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785460966,836815118,100.0,-1.8715418020831507,-1.7641404310809534,-0.9870675245868128,-4.698480550442831,-3.5640817324267786,-0.32221728960146123,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785460966,858060121,100.0,-1.8715656439410608,-1.7641165892230433,-0.9870312849627894,-4.698408548031942,-3.56398588815798,-0.32214528719057256,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785460966,876818656,100.0,-1.8715418020831507,-1.7641165892230433,-0.9870789686786097,-4.698540393506185,-3.563998047505514,-0.3221691290484827,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785460966,899087905,100.0,-1.8715418020831507,-1.7641523520099085,-0.9870074431048792,-4.698492471371786,-3.5640817324267786,-0.3222292105304163,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785460966,916218519,100.0,-1.871589485798971,-1.7641285101519983,-0.9870675245868128,-4.698480550442831,-3.564009968434469,-0.32221728960146123,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785460966,939396858,100.0,-1.8715055624591272,-1.76410419145693,-0.9870556036578577,-4.698468510304586,-3.5640817324267786,-0.3221691290484827,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785460966,959595203,100.0,-1.8715656439410608,-1.7641285101519983,-0.9870789686786097,-4.698480550442831,-3.5640459696399134,-0.3221691290484827,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785460966,978799104,100.0,-1.8715537230121058,-1.7641642729388636,-0.9870312849627894,-4.698468510304586,-3.5640459696399134,-0.32215720811952764,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785460966,995322704,100.0,-1.8715294043170374,-1.7641523520099085,-0.9870789686786097,-4.698480550442831,-3.563998047505514,-0.3221929709063929,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785460967,16999721,100.0,-1.8715294043170374,-1.7641523520099085,-0.9870789686786097,-4.698456470166342,-3.5640459696399134,-0.3221691290484827,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785460967,37307977,100.0,-1.8715656439410608,-1.764092270527975,-0.9871271292315882,-4.698468510304586,-3.5640698114978235,-0.3221929709063929,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785460967,73577642,100.0,-1.8715656439410608,-1.7641285101519983,-0.9870436827289026,-4.6984445492373865,-3.5640698114978235,-0.3221929709063929,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785460967,85892438,100.0,-1.871577564870016,-1.7641404310809534,-0.9870312849627894,-4.698456470166342,-3.5640578905688685,-0.32220489183534795,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785460967,103020906,100.0,-1.8715294043170374,-1.7641165892230433,-0.9870789686786097,-4.698504511510031,-3.564009968434469,-0.3221929709063929,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785460967,118543386,100.0,-1.871577564870016,-1.7641642729388636,-0.9870675245868128,-4.698456470166342,-3.564021889363424,-0.3221691290484827,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785460967,143582582,100.0,-1.8715537230121058,-1.7641523520099085,-0.9870908896075647,-4.698492471371786,-3.5640698114978235,-0.32215720811952764,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785460967,163375854,100.0,-1.8715537230121058,-1.7641761938678187,-0.9870556036578577,-4.6984445492373865,-3.563998047505514,-0.3221810499774378,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785460967,182508945,100.0,-1.8715294043170374,-1.76410419145693,-0.9870675245868128,-4.698492471371786,-3.5640578905688685,-0.3221691290484827,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785460967,195851325,100.0,-1.8715537230121058,-1.7640565077411097,-0.9870436827289026,-4.698432509099142,-3.564009968434469,-0.32214528719057256,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
