Nodes,PayloadSize,ServiceRate,ArrivalRate,TrafficIntensity,AvgDelayMs,DropRate,SystemCrash
15,8,7.22,6.66667,0.923361,3706.65,0,0
20,8,7.22,5,0.692521,3408.06,0,0
50,8,7.22,2,0.277008,1529.06,0,0
100,8,7.22,1,0.138504,660.009,0,0
200,8,7.22,0.5,0.0692521,660.009,0,0
5,32,4.6,20,4.34783,3932.75,65.4088,1
10,32,4.6,10,2.17391,3637.51,31.6456,1
15,32,4.6,6.66667,1.44928,3001.25,0,1
20,32,4.6,5,1.08696,2526.81,0,1
50,32,4.6,2,0.434783,423.41,0,0
100,32,4.6,1,0.217391,423.41,0,0
200,32,4.6,0.5,0.108696,423.41,0,0
5,64,3.1,20,6.45161,3961.91,72.327,1
10,64,3.1,10,3.22581,3653.58,44.3038,1
15,64,3.1,6.66667,2.15054,3228.45,15.0943,1
20,64,3.1,5,1.6129,2803.58,0,1
50,64,3.1,2,0.645161,475.85,0,0
100,64,3.1,1,0.322581,475.85,0,0
200,64,3.1,0.5,0.16129,475.85,0,0
