timestamp_sec,timestamp_nanosec,shoulder_pan_pos,shoulder_lift_pos,elbow_pos,wrist_1_pos,wrist_2_pos,wrist_3_pos,shoulder_pan_vel,shoulder_lift_vel,elbow_vel,wrist_1_vel,wrist_2_vel,wrist_3_vel
1782763378,887843283,-1.8053200880633753,-0.8379748503314417,-1.9944198767291468,-4.610817734395162,-3.563087050114767,1.7938542366027832,0.0,-0.0,0.0,0.0,0.0,0.0
1782763378,895798682,-1.8053200880633753,-0.8379748503314417,-1.9944198767291468,-4.610817734395162,-3.563087050114767,1.7938542366027832,0.0,-0.0,0.0,0.0,0.0,0.0
1782763378,911306278,-1.8053682486163538,-0.8380106131183069,-1.9944561163531702,-4.610757891331808,-3.5631230513202112,1.7938542366027832,0.0,-0.0,0.0,0.0,0.0,0.0
1782763378,927648573,-1.8053439299212855,-0.8380463759051722,-1.994443718587057,-4.610769812260763,-3.5630632082568567,1.7938902378082275,0.0,-0.0,0.0,0.0,0.0,0.0
1782763378,930375021,-1.8053439299212855,-0.8380463759051722,-1.994443718587057,-4.610769812260763,-3.5630632082568567,1.7938902378082275,0.0,-0.0,0.0,0.0,0.0,0.0
1782763378,946018838,-1.8053558508502405,-0.8379986921893519,-1.994443718587057,-4.610769812260763,-3.5630632082568567,1.7937943935394287,0.0,-0.0,0.0,0.0,0.0,0.0
1782763378,959414576,-1.8053081671344202,-0.8379867712603968,-1.9944680372821253,-4.610721890126364,-3.5630632082568567,1.7938542366027832,0.0,-0.0,0.0,0.0,0.0,0.0
1782763378,967306716,-1.8053682486163538,-0.8379624525653284,-1.9944317976581019,-4.610769812260763,-3.5630512873279017,1.7938662767410278,0.0,-0.0,0.0,0.0,0.0,0.0
1782763379,10518412,-1.8053682486163538,-0.8379748503314417,-1.9943960348712366,-4.610769812260763,-3.563087050114767,1.7937943935394287,0.0,-0.0,0.0,0.0,0.0,0.0
1782763379,23476245,-1.8053200880633753,-0.8380106131183069,-1.9943841139422815,-4.610757891331808,-3.5631230513202112,1.7938423156738281,0.0,-0.0,0.0,0.0,0.0,0.0
