timestamp,protocol,direction,packet_length
1782398059.283913,ICMP_PING,ECHO_REQ,98
1782398059.2953742,ICMP_PING,ECHO_REPLY,98
1782398060.2862577,ICMP_PING,ECHO_REQ,98
1782398060.2966986,ICMP_PING,ECHO_REPLY,98
1782398061.2882044,ICMP_PING,ECHO_REQ,98
1782398061.2986095,ICMP_PING,ECHO_REPLY,98
1782398062.2901235,ICMP_PING,ECHO_REQ,98
1782398062.3005304,ICMP_PING,ECHO_REPLY,98
1782398063.2912815,ICMP_PING,ECHO_REQ,98
1782398063.3016336,ICMP_PING,ECHO_REPLY,98
1782398064.293251,ICMP_PING,ECHO_REQ,98
1782398064.3041139,ICMP_PING,ECHO_REPLY,98
1782398065.2952824,ICMP_PING,ECHO_REQ,98
1782398065.3057976,ICMP_PING,ECHO_REPLY,98
1782398066.2977488,ICMP_PING,ECHO_REQ,98
1782398066.307851,ICMP_PING,ECHO_REPLY,98
1782398067.2995148,ICMP_PING,ECHO_REQ,98
1782398067.3100162,ICMP_PING,ECHO_REPLY,98
1782398068.30164,ICMP_PING,ECHO_REQ,98
1782398068.311943,ICMP_PING,ECHO_REPLY,98
1782398069.303664,ICMP_PING,ECHO_REQ,98
1782398069.315633,ICMP_PING,ECHO_REPLY,98
1782398070.3052697,ICMP_PING,ECHO_REQ,98
1782398070.3161514,ICMP_PING,ECHO_REPLY,98
1782398071.3072882,ICMP_PING,ECHO_REQ,98
1782398071.3176935,ICMP_PING,ECHO_REPLY,98
1782398072.3093312,ICMP_PING,ECHO_REQ,98
1782398072.3195746,ICMP_PING,ECHO_REPLY,98
1782398073.3113005,ICMP_PING,ECHO_REQ,98
1782398073.320504,ICMP_PING,ECHO_REPLY,98
1782398074.3132083,ICMP_PING,ECHO_REQ,98
1782398074.3225825,ICMP_PING,ECHO_REPLY,98
1782398075.3149724,ICMP_PING,ECHO_REQ,98
1782398075.3254514,ICMP_PING,ECHO_REPLY,98
1782398076.3170044,ICMP_PING,ECHO_REQ,98
1782398076.3264403,ICMP_PING,ECHO_REPLY,98
1782398077.319051,ICMP_PING,ECHO_REQ,98
1782398077.3293684,ICMP_PING,ECHO_REPLY,98
1782398078.3208363,ICMP_PING,ECHO_REQ,98
1782398078.3312483,ICMP_PING,ECHO_REPLY,98
1782398079.3228633,ICMP_PING,ECHO_REQ,98
1782398079.3335912,ICMP_PING,ECHO_REPLY,98
1782398080.3248136,ICMP_PING,ECHO_REQ,98
1782398080.335289,ICMP_PING,ECHO_REPLY,98
1782398081.327004,ICMP_PING,ECHO_REQ,98
1782398081.337349,ICMP_PING,ECHO_REPLY,98
1782398082.3288999,ICMP_PING,ECHO_REQ,98
1782398082.3393257,ICMP_PING,ECHO_REPLY,98
1782398083.3301427,ICMP_PING,ECHO_REQ,98
1782398083.341196,ICMP_PING,ECHO_REPLY,98
1782398084.332743,ICMP_PING,ECHO_REQ,98
1782398084.343247,ICMP_PING,ECHO_REPLY,98
1782398085.334867,ICMP_PING,ECHO_REQ,98
1782398085.3452795,ICMP_PING,ECHO_REPLY,98
1782398086.3368852,ICMP_PING,ECHO_REQ,98
1782398086.346369,ICMP_PING,ECHO_REPLY,98
1782398087.3386998,ICMP_PING,ECHO_REQ,98
1782398087.3491042,ICMP_PING,ECHO_REPLY,98
1782398088.3405821,ICMP_PING,ECHO_REQ,98
1782398088.3510427,ICMP_PING,ECHO_REPLY,98
1782398089.3427372,ICMP_PING,ECHO_REQ,98
1782398089.3529851,ICMP_PING,ECHO_REPLY,98
1782398089.9605536,ICMP_PING,ECHO_REPLY,120
1782398089.966464,ICMP_PING,ECHO_REPLY,120
1782398090.3447874,ICMP_PING,ECHO_REQ,98
1782398090.3551443,ICMP_PING,ECHO_REPLY,98
1782398091.3466804,ICMP_PING,ECHO_REQ,98
1782398091.3570657,ICMP_PING,ECHO_REPLY,98
1782398092.3485157,ICMP_PING,ECHO_REQ,98
1782398092.3588903,ICMP_PING,ECHO_REPLY,98
1782398093.350605,ICMP_PING,ECHO_REQ,98
1782398093.3608222,ICMP_PING,ECHO_REPLY,98
1782398094.3522332,ICMP_PING,ECHO_REQ,98
1782398094.3628578,ICMP_PING,ECHO_REPLY,98
1782398095.3534071,ICMP_PING,ECHO_REQ,98
1782398095.3639374,ICMP_PING,ECHO_REPLY,98
1782398096.3553684,ICMP_PING,ECHO_REQ,98
1782398096.3657484,ICMP_PING,ECHO_REPLY,98
1782398097.3557243,ICMP_PING,ECHO_REQ,98
1782398097.3675416,ICMP_PING,ECHO_REPLY,98
1782398098.3593554,ICMP_PING,ECHO_REQ,98
1782398098.3697228,ICMP_PING,ECHO_REPLY,98
1782398099.3613713,ICMP_PING,ECHO_REQ,98
1782398099.3717875,ICMP_PING,ECHO_REPLY,98
1782398120.9766164,ICMP_PING,ECHO_REQ,98
